date,geoid,value
2022-11-17,08,11
2022-11-17,35,23
2022-11-17,49,1
2022-11-18,04,32
2022-11-18,08,13
2022-11-18,35,23
2022-11-18,49,1
2022-11-19,04,36
2022-11-19,08,14
2022-11-19,35,23
2022-11-19,49,1
2022-11-20,04,41
2022-11-20,08,15
2022-11-20,35,23
2022-11-20,49,1
2022-11-21,04,45
2022-11-21,08,16
2022-11-21,35,22
2022-11-21,49,1
2022-11-22,04,50
2022-11-22,08,17
2022-11-22,35,22
2022-11-22,49,1
2022-11-23,04,55
2022-11-23,08,18
2022-11-23,35,20
2022-11-23,49,2
2022-11-24,04,61
2022-11-24,08,19
2022-11-24,35,19
2022-11-24,49,3
2022-11-25,04,66
2022-11-25,08,20
2022-11-25,35,18
2022-11-25,49,3
2022-11-26,04,72
2022-11-26,08,21
2022-11-26,35,18
2022-11-26,49,4
2022-11-27,04,77
2022-11-27,08,21
2022-11-27,35,19
2022-11-27,49,4
2022-11-28,04,83
2022-11-28,08,22
2022-11-28,35,21
2022-11-28,49,5
2022-11-29,04,89
2022-11-29,08,22
2022-11-29,35,24
2022-11-29,49,5
2022-11-30,04,94
2022-11-30,08,22
2022-11-30,35,28
2022-11-30,49,5
2022-12-01,04,100
2022-12-01,08,21
2022-12-01,35,33
2022-12-01,49,4
2022-12-02,04,105
2022-12-02,08,21
2022-12-02,35,37
2022-12-02,49,4
2022-12-03,04,109
2022-12-03,08,21
2022-12-03,35,42
2022-12-03,49,4
2022-12-04,04,113
2022-12-04,08,22
2022-12-04,35,46
2022-12-04,49,4
2022-12-05,04,115
2022-12-05,08,23
2022-12-05,35,49
2022-12-05,49,5
2022-12-06,04,117
2022-12-06,08,25
2022-12-06,35,52
2022-12-06,49,5
2022-12-07,04,117
2022-12-07,08,27
2022-12-07,35,54
2022-12-07,49,6
2022-12-08,04,117
2022-12-08,08,29
2022-12-08,35,55
2022-12-08,49,7
2022-12-09,04,115
2022-12-09,08,31
2022-12-09,35,56
2022-12-09,49,8
2022-12-10,04,113
2022-12-10,08,33
2022-12-10,35,56
2022-12-10,49,9
2022-12-11,04,111
2022-12-11,08,34
2022-12-11,35,56
2022-12-11,49,9
2022-12-12,04,107
2022-12-12,08,35
2022-12-12,35,55
2022-12-12,49,9
2022-12-13,04,103
2022-12-13,08,35
2022-12-13,35,54
2022-12-13,49,9
2022-12-14,04,97
2022-12-14,08,35
2022-12-14,35,52
2022-12-14,49,8
2022-12-15,04,92
2022-12-15,08,35
2022-12-15,35,50
2022-12-15,49,7
2022-12-16,04,86
2022-12-16,08,34
2022-12-16,35,48
2022-12-16,49,7
2022-12-17,04,81
2022-12-17,08,34
2022-12-17,35,46
2022-12-17,49,6
2022-12-18,04,78
2022-12-18,08,35
2022-12-18,35,45
2022-12-18,49,5
2022-12-19,04,75
2022-12-19,08,36
2022-12-19,35,45
2022-12-19,49,5
2022-12-20,04,74
2022-12-20,08,37
2022-12-20,35,45
2022-12-20,49,5
2022-12-21,04,74
2022-12-21,08,40
2022-12-21,35,46
2022-12-21,49,6
2022-12-22,04,74
2022-12-22,08,42
2022-12-22,35,48
2022-12-22,49,7
2022-12-23,04,76
2022-12-23,08,45
2022-12-23,35,50
2022-12-23,49,7
2022-12-24,04,77
2022-12-24,08,47
2022-12-24,35,51
2022-12-24,49,8
2022-12-25,04,79
2022-12-25,08,49
2022-12-25,35,51
2022-12-25,49,9
2022-12-26,04,82
2022-12-26,08,50
2022-12-26,35,51
2022-12-26,49,9
2022-12-27,04,84
2022-12-27,08,51
2022-12-27,35,50
2022-12-27,49,10
2022-12-28,04,87
2022-12-28,08,52
2022-12-28,35,49
2022-12-28,49,11
2022-12-29,04,90
2022-12-29,08,51
2022-12-29,35,47
2022-12-29,49,11
2022-12-30,04,92
2022-12-30,08,51
2022-12-30,35,45
2022-12-30,49,11
2022-12-31,04,93
2022-12-31,08,49
2022-12-31,35,42
2022-12-31,49,12
2023-01-01,04,92
2023-01-01,08,47
2023-01-01,35,40
2023-01-01,49,12
2023-01-02,04,90
2023-01-02,08,45
2023-01-02,35,38
2023-01-02,49,12
2023-01-03,04,87
2023-01-03,08,42
2023-01-03,35,36
2023-01-03,49,12
2023-01-04,04,81
2023-01-04,08,38
2023-01-04,35,34
2023-01-04,49,12
2023-01-05,04,75
2023-01-05,08,34
2023-01-05,35,32
2023-01-05,49,12
2023-01-06,04,68
2023-01-06,08,29
2023-01-06,35,30
2023-01-06,49,11
2023-01-07,04,61
2023-01-07,08,26
2023-01-07,35,28
2023-01-07,49,11
2023-01-08,04,54
2023-01-08,08,22
2023-01-08,35,26
2023-01-08,49,10
2023-01-09,04,48
2023-01-09,08,20
2023-01-09,35,23
2023-01-09,49,9
2023-01-10,04,43
2023-01-10,08,18
2023-01-10,35,21
2023-01-10,49,8
2023-01-11,04,37
2023-01-11,08,17
2023-01-11,35,18
2023-01-11,49,7
2023-01-12,04,33
2023-01-12,08,17
2023-01-12,35,15
2023-01-12,49,6
2023-01-13,04,28
2023-01-13,08,16
2023-01-13,35,12
2023-01-13,49,5
2023-01-14,04,25
2023-01-14,08,16
2023-01-14,35,9
2023-01-14,49,4
2023-01-15,04,22
2023-01-15,08,15
2023-01-15,35,7
2023-01-15,49,3
2023-01-16,04,19
2023-01-16,08,14
2023-01-16,35,5
2023-01-16,49,2
2023-01-17,04,18
2023-01-17,08,13
2023-01-17,35,4
2023-01-17,49,2
2023-01-18,04,16
2023-01-18,08,11
2023-01-18,35,4
2023-01-18,49,2
2023-01-19,04,16
2023-01-19,08,9
2023-01-19,35,4
2023-01-19,49,3
2023-01-20,04,16
2023-01-20,08,8
2023-01-20,35,4
2023-01-20,49,3
2023-01-21,04,15
2023-01-21,08,6
2023-01-21,35,4
2023-01-21,49,3
2023-01-22,04,15
2023-01-22,08,5
2023-01-22,35,4
2023-01-22,49,3
2023-01-23,04,14
2023-01-23,08,4
2023-01-23,35,4
2023-01-23,49,3
2023-01-24,04,13
2023-01-24,08,3
2023-01-24,35,4
2023-01-24,49,3
2023-01-25,04,12
2023-01-25,08,3
2023-01-25,35,4
2023-01-25,49,3
2023-01-26,04,11
2023-01-26,08,3
2023-01-26,35,4
2023-01-26,49,2
2023-01-27,04,9
2023-01-27,08,3
2023-01-27,35,3
2023-01-27,49,2
2023-01-28,04,8
2023-01-28,08,3
2023-01-28,35,3
2023-01-28,49,1
2023-01-29,04,8
2023-01-29,08,3
2023-01-29,35,3
2023-01-29,49,1
2023-01-30,04,7
2023-01-30,08,4
2023-01-30,35,3
2023-01-30,49,1
2023-01-31,04,7
2023-01-31,08,4
2023-01-31,35,2
2023-01-31,49,1
2023-02-01,04,7
2023-02-01,08,4
2023-02-01,35,2
2023-02-01,49,1
2023-02-02,04,7
2023-02-02,08,5
2023-02-02,35,2
2023-02-02,49,1
2023-02-03,04,8
2023-02-03,08,5
2023-02-03,35,2
2023-02-03,49,1
2023-02-04,04,8
2023-02-04,08,5
2023-02-04,35,1
2023-02-04,49,1
2023-02-05,04,9
2023-02-05,08,6
2023-02-05,35,1
2023-02-05,49,1
2023-02-06,04,9
2023-02-06,08,6
2023-02-06,35,1
2023-02-06,49,1
2023-02-07,04,9
2023-02-07,08,6
2023-02-07,35,1
2023-02-07,49,1
2023-02-08,04,9
2023-02-08,08,5
2023-02-08,35,1
2023-02-08,49,1
2023-02-09,04,9
2023-02-09,08,5
2023-02-09,35,1
2023-02-09,49,1
2023-02-10,04,9
2023-02-10,08,5
2023-02-10,35,1
2023-02-10,49,1
2023-02-11,04,9
2023-02-11,08,4
2023-02-11,35,1
2023-02-11,49,1
2023-02-12,04,9
2023-02-12,08,4
2023-02-12,35,1
2023-02-12,49,1
2023-02-13,04,8
2023-02-13,08,4
2023-02-13,35,1
2023-02-13,49,1
2023-02-14,04,8
2023-02-14,08,3
2023-02-14,35,1
2023-02-14,49,1
2023-02-15,04,7
2023-02-15,08,3
2023-02-15,35,1
2023-02-15,49,1
2023-02-16,04,7
2023-02-16,08,3
2023-02-16,35,1
2023-02-16,49,1
2023-02-17,04,6
2023-02-17,08,3
2023-02-17,35,1
2023-02-17,49,1
2023-02-18,04,6
2023-02-18,08,3
2023-02-18,35,0
2023-02-18,49,0
2023-02-19,04,5
2023-02-19,08,3
2023-02-19,35,0
2023-02-19,49,0
2023-02-20,04,5
2023-02-20,08,2
2023-02-20,35,0
2023-02-20,49,0
2023-02-21,04,5
2023-02-21,08,2
2023-02-21,35,0
2023-02-21,49,0
2023-02-22,04,5
2023-02-22,08,2
2023-02-22,35,1
2023-02-22,49,0
2023-02-23,04,5
2023-02-23,08,2
2023-02-23,35,1
2023-02-23,49,0
2023-02-24,04,5
2023-02-24,08,2
2023-02-24,35,1
2023-02-24,49,1
2023-02-25,04,6
2023-02-25,08,2
2023-02-25,35,1
2023-02-25,49,1
2023-02-26,04,6
2023-02-26,08,2
2023-02-26,35,1
2023-02-26,49,1
2023-02-27,04,6
2023-02-27,08,2
2023-02-27,35,2
2023-02-27,49,1
2023-02-28,04,6
2023-02-28,08,2
2023-02-28,35,2
2023-02-28,49,1
2023-03-01,04,6
2023-03-01,08,2
2023-03-01,35,2
2023-03-01,49,1
2023-03-02,04,7
2023-03-02,08,2
2023-03-02,35,2
2023-03-02,49,1
2023-03-03,04,7
2023-03-03,08,3
2023-03-03,35,2
2023-03-03,49,0
2023-03-04,04,7
2023-03-04,08,3
2023-03-04,35,2
2023-03-04,49,0
2023-03-05,04,7
2023-03-05,08,3
2023-03-05,35,2
2023-03-05,49,0
2023-03-06,04,7
